Map,Winner,Winner race,Loser,Loser race
Twisted Meadows,Fly100%,o,XiaoKai,u
Northern Isles,Happy,u,HoT,n
Concealed Hill,KraV,u,Seal,o
Northern Isles,FoCuS,o,Sok,h
Amazonia,HawK,h,MisterWinner,h
Echo Isles,Moon,n,Michael,u
Amazonia,Drunken,h,Shocky,u
Autumn Leaves,Sonik,n,EnTe,u
Last Refuge,Fortitude,h,Fast,o
Autumn Leaves,Hunter,n,KiWiKaKi,o
Last Refuge,ToX,u,Changer,h
Tidehunters,MisterWinner,h,Hastur,n
Northern Isles,Foggy,n,ThundeR,h
Concealed Hill,Sok,h,Sonik,n
Concealed Hill,TGW,u,RenZNek,u
Echo Isles,ThundeR,h,Hitman,o
Last Refuge,MisterWinner,h,PteN,o
Amazonia,Colorful,n,Sok,h
Concealed Hill,TGW,u,EnTe,u
Concealed Hill,OC,n,Deuce,u
Northern Isles,Deuce,u,INSUPERABLE,u
Last Snow,Sonik,n,Blade,h
Northern Isles,Chaemiko,h,Michael,u
Concealed Hill,Ice orc,o,Zhou Xixi,n
Concealed Hill,Sok,h,Fortitude,h
Last Refuge,Foggy,n,Blade,h
Amazonia,HoT,n,SeTh,n
Turtle Rock,Fly100%,o,Pcg 123,u
Echo Isles,BlaST9Z,n,ZeLL,h
Amazonia,FoCuS,o,Hitman,o
Last Refuge,Fish,h,MisterWinner,h
Last Refuge,ReseT,n,Rav3n,u
Terenas Stand LV,ZeLL,h,DesTr0,h
Last Refuge,SaysO,o,Duck,u
Echo Isles,Ag3nt,h,ToM,o
Concealed Hill,DeMiGoD,o,WatchMeCarry,n
Echo Isles,Hipposaur,h,XiaOgame,o
Northern Isles,XlorD,u,Neytpoh,n
Amazonia,ThorZaIN,h,LiiLD.C,n
Northern Isles,Dise,n,TGW,n
Amazonia,Sooo Unreal,h,Heisman,h
Echo Isles,InsoliTe,u,ZeLL,h
Northern Isles,XlorD,u,Edo,u
Northern Isles,Mythos,u,Alexchen,n
Concealed Hill,ToX,u,Ag3nt,h
Last Refuge,Starshaped,n,Inspired,h
Concealed Hill,Foggy,n,LawLiet,n
Echo Isles,Lin Guagua,o,Pink,u
Echo Isles,Fish,h,CaHeK,u
Northern Isles,Hipposaur,h,Wontu,n
Terenas Stand LV,FoCuS,o,LawLiet,n
Northern Isles,Lucker,o,Ramos,o
Concealed Hill,Fhra,o,TR-vanilla,n
Last Refuge,Chaemiko,h,FoCuS,o
Echo Isles,FoCuS,o,Sok,h
Last Refuge,Lyn,o,Yange,n
Northern Isles,Mosura,u,Coremix,o
Last Refuge,Happy,u,Ajk,n
Amazonia,HawK,h,Sonik,n
Terenas Stand LV,LawLiet,n,Edo,u
Concealed Hill,JohnnyCage,h,CaSpeND,h
Northern Isles,Sini,n,War3Orcer0,o
Amazonia,Hailua,h,Ark,n
Echo Isles,Pink,u,Decadent God,o
Amazonia,XlorD,u,Rigety,o
Concealed Hill,SaiDe,n,CoopeR,o
Concealed Hill,ArminvB,o,RichApM,u
Last Refuge,TGW,h,HoT,n
Concealed Hill,KnOfF,o,Skutt,u
Turtle Rock,Happy,u,Blade,h
Concealed Hill,Soin,o,XiaoKai,u
Echo Isles,XlorD,u,Rigety,o
Twisted Meadows,ArminvB,o,ZBOB,TBD
Northern Isles,Sheik,u,NoobKing,n
Northern Isles,Fortitude,h,Fly100%,o
Last Refuge,Eer0,u,Lyn,o
Amazonia,Simba,h,Deadmouz,u
Last Refuge,ThundeR,h,P1nke,o
Northern Isles,Neytpoh,n,SyDe,u
Amazonia,Blade,h,WaN,u
Last Refuge,Fish,h,Ark,n
Amazonia,Phil,h,Alexchen,n
Echo Isles,ToD,h,LongWalk,n
Last Refuge,Hitman,o,Hailua,h
Twisted Meadows,AllTheSmoke,u,Pongo,n
Northern Isles,Michael,u,Elf1mba,u
Tidehunters,Happy,u,TGW,u
Amazonia,Happy,u,Wiz,n
Echo Isles,Fly100%,o,Moon,n
Northern Isles,Chaemiko,h,Pink,u
Turtle Rock,Sooo Unreal,h,PriesT,h
Last Refuge,Deathnote,h,Cakepiebisct,h
Amazonia,Fog,n,Gonz,n
Echo Isles,SaysO,u,Ark,n
Last Refuge,Edo,u,Mosura,u
Northern Isles,ReseT,n,Mythos,u
Amazonia,ChriS,u,ALe,n
Echo Isles,Michael,u,Sheik,u
Amazonia,LiiLD.C,n,TwistR,o
Northern Isles,Lyn,o,Foggy,n
Amazonia,LawLiet,n,HoT,n
Concealed Hill,Alice,n,Michael,u
Northern Isles,Happy,u,Sonik,n
Concealed Hill,Pokey,n,Dazzle,h
Northern Isles,HawK,h,Deathnote,h
Last Refuge,VortiX,u,Blade,h
Concealed Hill,Pokey,n,Alexchen,n
Amazonia,Chaemiko,h,Robinson,n
Last Refuge,SaiDe,n,Starshaped,n
Northern Isles,Dise,n,Sirius,o
Amazonia,MisterWinner,h,Bardigan,u
Last Refuge,MisterWinner,h,MrGannicus,u
Autumn Leaves,SpoKi,h,Drunken,h
Concealed Hill,DeMiGoD,o,PhoeNix,n
Turtle Rock,ToM,o,AtheistP,h
Twisted Meadows,XlorD,u,Neytpoh,n
Amazonia,HoT,n,TGW,u
Concealed Hill,Seal,o,Ze1Ko,h
Turtle Rock,WaN,u,CoopeR,o
Turtle Rock,Chaemiko,h,FoCuS,o
Amazonia,Mango,u,Fast,o
Terenas Stand LV,Skutt,u,Ard,o
Twisted Meadows,Kevin,n,Rigety,o
Northern Isles,Patitofeo,u,Rcknew,n
Amazonia,LongWalk,n,SpoKi,h
Concealed Hill,HoT,n,AtheistP,h
Twisted Meadows,Fly100%,o,LawLiet,n
Amazonia,Hitman,o,SaysO,o
Concealed Hill,TeRRoR,u,INSUPERABLE,u
Concealed Hill,RaZZoRMaN,o,Edo,u
Concealed Hill,Sooo Unreal,h,Auabnaeugene,u
Last Refuge,Aeb,u,ZeLL,h
Echo Isles,CrunCher,h,Hitman,o
Concealed Hill,Wiz,h,Daille,h
Last Refuge,Michael,u,Eer0,u
Echo Isles,Foggy,n,Happy,u
Amazonia,FoCuS,o,Fortitude,h
Amazonia,Pcg 123,u,XiaoKai,o
Zul'Alor,Dise,n,HotGuy6Pack,o
Terenas Stand LV,Flopoks,u,MisterWinner,h
Northern Isles,FpXy,n,AtheistP,h
Echo Isles,Sini,o,Bzddd,n
Echo Isles,KraV,u,Ze1Ko,h
Last Refuge,INSUPERABLE,u,Colorful,n
Terenas Stand LV,VortiX,u,Foggy,n
Terenas Stand LV,ToM,o,Edo,u
Amazonia,Fortitude,h,Sini,n
Terenas Stand LV,HawK,h,Dise,n
Northern Isles,Neytpoh,n,EnTe,u
Terenas Stand LV,Hitman,o,Pride,o
Last Refuge,Philiwarrior,o,Drunken,h
Amazonia,Evocore,h,JarAsH,o
Last Refuge,CrunCher,o,Hitman,n
Amazonia,Foggy,n,Happy,u
Echo Isles,Seal,o,SeTh,n
Concealed Hill,Happy,u,P1nke,o
Last Refuge,Fly100%,o,FoCuS,o
Concealed Hill,Mango,u,Zhou Xixi,n
Terenas Stand LV,HawK,h,DowaQ,u
Echo Isles,MrKenshin,o,MrOleh,o
Last Refuge,HawK,h,XlorD,u
Terenas Stand LV,Fortitude,h,Anxi,u
Last Refuge,Fortitude,h,LawLiet,n
Amazonia,Lyn,o,FoCuS,o
Last Refuge,JohnnyCage,h,TGW,u
Amazonia,GoStyle,o,Kocur86,u
Last Refuge,Cement,u,MisterWinner,h
Northern Isles,Deuce,u,Alexchen,n
Echo Isles,InsoliTe,u,DesTr0,h
Concealed Hill,Pokey,n,Forsaken,n
Concealed Hill,Blade,h,HawK,h
Last Refuge,LawLiet,n,Chaemiko,h
Northern Isles,WaN,u,JokeRn,n
Amazonia,Sooo Unreal,h,Lnclnerator,o
Echo Isles,SaysO,u,ViOLet,o
Turtle Rock,Fish,h,Robinson,n
Northern Isles,Sheik,u,HawK,h
Northern Isles,Ark,n,Aeb,u
Amazonia,Blade,h,Sheik,u
Terenas Stand LV,Infi,h,Moon,n
Concealed Hill,Eer0,u,LawLiet,n
Concealed Hill,Shocky,u,Hunt,h
Last Refuge,VortiX,u,CoopeR,o
Twisted Meadows,Eer0,u,LawLiet,n
Twisted Meadows,Sonik,n,Tomik,o
Concealed Hill,FoCuS,o,Foggy,n
Turtle Rock,AtheistP,h,WoLv,n
Concealed Hill,Shocky,u,RaGsen,o
Terenas Stand LV,Sheik,u,Deathnote,h
Concealed Hill,EnTe,u,ToM,o
Echo Isles,Foggy,n,Neytpoh,n
Last Refuge,Ark,n,Hitman,o
Gold Port,Neytpoh,n,Sonik,n
Echo Isles,Kevin,n,Edo,u
Amazonia,Deathnote,h,Rahvin,h
Last Refuge,ThundeR,h,Sheik,u
Concealed Hill,Starshaped,n,EnTe,u
Northern Isles,Rigety,o,PalleS,h
Concealed Hill,Philiwarrior,o,Hax,u
Northern Isles,TGW,u,ThundeR,h
Last Refuge,ToM,o,Kevin,n
Amazonia,HoT,n,Tak3r,o
Last Refuge,Imud,u,RichApM,u
Last Refuge,Michael,u,Moon,n
Concealed Hill,GuvnoR,u,Kocur86,u
Northern Isles,KraV,u,InsoliTe,u
Echo Isles,Eer0,u,Chaemiko,h
Echo Isles,ThorZaIN,h,LaWn,o
Echo Isles,CoopeR,o,Please,n
Amazonia,FoCuS,o,KraV,u
Last Refuge,BlaST9Z,n,ZeLL,h
Amazonia,Ark,n,INSUPERABLE,u
Terenas Stand LV,Moon,n,Foggy,n
Last Refuge,Fast,o,行云影月,n
Amazonia,Deathnote,h,MisterWinner,h
Northern Isles,Hitman,o,Ark,n
Northern Isles,Foggy,n,CoopeR,o
Concealed Hill,Heisman,h,PriesT,h
Amazonia,Sok,h,Eer0,u
Amazonia,Rav3n,u,Tebejak,o
Northern Isles,SyDe,u,ArminvB,o
Echo Isles,LiiLD.C,n,ThorZaIN,h
Northern Isles,Hipposaur,h,MisterWinner,h
Northern Isles,Paxa,o,MrMuggle,o
Northern Isles,ThorZaIN,h,BeaveR,n
Twisted Meadows,Moon,n,FoCuS,o
Last Refuge,INSUPERABLE,u,Pokey,n
Last Refuge,KraV,u,Seal,o
Last Refuge,Edo,u,Kevin,n
Last Refuge,FoCuS,o,Hitman,o
Northern Isles,,,,
Concealed Hill,VortiX,u,Blade,h
Northern Isles,Michael,u,Sonik,n
Terenas Stand LV,Deathnote,h,HoT,n
Northern Isles,Foggy,n,Neytpoh,n
Concealed Hill,Deuce,u,Pokey,n
Concealed Hill,Totoro,n,Rackanitsu,h
Concealed Hill,Neytpoh,n,Deathnote,h
Concealed Hill,Sheik,u,HoT,n
Terenas Stand LV,VortiX,u,JohnnyCage,h
Last Refuge,OC,n,INSUPERABLE,u
Amazonia,Happy,u,Foggy,n
Last Refuge,Eer0,u,Fortitude,h
Echo Isles,Please,n,Dise,n
Last Refuge,Neytpoh,n,EnTe,u
Echo Isles,Fortitude,h,Fly100%,o
Last Refuge,Deuce,u,HellRaiseR,u
Northern Isles,Please,n,Cement,u
Concealed Hill,LawLiet,n,Sheik,u
Concealed Hill,YggaM,h,WoLv,n
Northern Isles,Michael,u,Chaemiko,h
Last Refuge,Happy,u,Starshaped,n
Terenas Stand LV,Celebrate,o,MisterWinner,h
Last Refuge,Ark,n,Hunter,n
Last Refuge,VortiX,u,XlorD,u
Northern Isles,FoCuS,o,Chaemiko,h
Last Refuge,Rav3n,u,Sixb0nes,h
Terenas Stand LV,Alice,u,Lin Guagua,u
Last Refuge,Dise,n,Fish,h
Terenas Stand LV,Skutt,u,Fog,n
Echo Isles,Sonik,n,ToD,h
Northern Isles,XlorD,u,Kevin,n
Last Refuge,HawK,h,Cash,o
Northern Isles,Ark,n,Duck,u
Northern Isles,Fish,h,Bido,h
Concealed Hill,SpoKi,h,LongWalk,n
Concealed Hill,Foggy,n,Wiz,n
Concealed Hill,Lnclnerator,o,RavinDrannor,o
Last Refuge,CrunCher,h,Deuce,u
Amazonia,XlorD,u,Michael,u
Amazonia,Chaemiko,h,Fortitude,h
Terenas Stand LV,SDmK,u,Cement,u
Echo Isles,Helbisch,u,Changer,h
Talonrift Coast,Sonik,n,Cash,o
Last Refuge,DowaQ,u,Blade,h
Last Refuge,Deuce,u,Pokey,n
Concealed Hill,Paladyn,n,HoT,n
Concealed Hill,Stormrage55,n,Slavco,o
Twisted Meadows,Moon,n,Fly100%,o
Amazonia,Happy,u,VortiX,u
Last Refuge,Foggy,n,CoopeR,o
Northern Isles,RaGsen,o,SpoKi,u
Concealed Hill,Sonik,n,TGW,h
Turtle Rock,FoCuS,o,Eer0,u
Amazonia,XlorD,u,Rigety,o
Twisted Meadows,Happy,u,Verdi,h
Concealed Hill,15sui,n,XiaoKK,o
Twisted Meadows,Lin Guagua,o,XiaoKai,u
Concealed Hill,CrunCher,h,INSUPERABLE,u
Northern Isles,Soulglider,h,PriesT,h
Northern Isles,ToM,o,ArminvB,o
Amazonia,LawLiet,n,Moon,n
Turtle Rock,Ser,u,Chiko,o
Amazonia,Ze1Ko,h,InsoliTe,u
Northern Isles,Kocur86,u,GoStyle,o
Echo Isles,Sixb0nes,h,Fish,h
Northern Isles,Edo,u,Sheik,u
Shattered Exile,Blade,h,Dise,n
Terenas Stand LV,Chaemiko,h,Colorful,n
Northern Isles,KiWiKaKi,o,Ceron,n
Shattered Exile,Neytpoh,n,X3-DemoN,h
Turtle Rock,PalleS,h,MisterWinner,h
Twisted Meadows,FoCuS,o,Soin,o
Last Refuge,ChriS,u,Shocky,u
Northern Isles,HawK,h,JohnnyCage,h
Amazonia,FoCuS,o,Michael,u
Zul'Alor,Blade,h,Star21,u
Concealed Hill,XeLSinG,o,Cement,u
Northern Isles,Foggy,n,Sonik,n
Last Refuge,Starshaped,n,Edo,u
Concealed Hill,ToM,o,Sixb0nes,h
Amazonia,BlaST9Z,n,Sonik,n
Concealed Hill,Evocore,n,BATOu,h
Concealed Hill,Fortitude,h,Eer0,u
Last Refuge,Michael,u,Ze1Ko,h
Amazonia,Verdi,h,Izabel,u
Concealed Hill,Lyn,o,Moon,n
Last Refuge,Sonik,n,RenZNek,u
Last Refuge,Illisori,n,NickMoris,n
Terenas Stand LV,LawLiet,n,Soin,o
Talonrift Coast,TGW,u,Inspired,h
Northern Isles,Sheik,u,Ser,u
Northern Isles,Rav3n,u,Sixb0nes,h
Northern Isles,INSUPERABLE,u,KiWiKaKi,o
Echo Isles,EnTe,u,LongWalk,n
Amazonia,Paladyn,n,Ze1Ko,h
Northern Isles,Moon,n,Soin,o
Last Refuge,Hipposaur,h,Iblazatar,h
Last Refuge,PalleS,h,SexySeaHorse,n
Northern Isles,Pride,o,HartCrane,o
Northern Isles,Pcg 123,u,藤原左马介,TBD
Amazonia,Seal,o,InsoliTe,u
Last Refuge,Ze1Ko,h,Tripode,o
Northern Isles,XlorD,u,VortiX,u
Concealed Hill,Sheik,u,Please,n
Echo Isles,Hipposaur,h,Halay,u
Northern Isles,Eer0,u,Pink,u
Amazonia,Sok,h,Lyn,o
Concealed Hill,Inspired,h,Fzviii,u
Last Refuge,Edo,u,Bizzare,o
Last Refuge,Deuce,u,HellRaiseR,u
Last Refuge,DirtBag,h,Mythos,u
Talonrift Coast,TGW,u,KraV,u
Echo Isles,Rackanitsu,h,BATOu,h
Concealed Hill,InsoliTe,u,ZeLL,h
Amazonia,Happy,u,Please,n
Northern Isles,Dise,n,Ze1Ko,h
Advantage,Sheik,u,Neytpoh,n
Last Refuge,Deathnote,h,MisterWinner,h
Northern Isles,HawK,h,XlorD,u
Echo Isles,FoCuS,o,Ice orc,o
Last Refuge,ThundeR,h,Tbc bm,u
Turtle Rock,Lin Guagua,o,Foggy,n
Amazonia,Michael,u,ThundeR,h
Concealed Hill,Please,n,Blade,h
Northern Isles,Edo,u,J.Nice,u
Echo Isles,TGW,u,Happy,u
Terenas Stand LV,Blade,h,LawLiet,n
Concealed Hill,Fly100%,o,Moon,n
Concealed Hill,Dise,n,Edo,u
Echo Isles,Cash,o,Please,n
Concealed Hill,Drunken,h,Philiwarrior,o
Concealed Hill,KiWiKaKi,o,CrunCher,n
Echo Isles,Happy,u,Foggy,n
Amazonia,LawLiet,n,15sui,h
Terenas Stand LV,ToM,o,FpXy,n
Northern Isles,KraV,u,LongWalk,n
Echo Isles,ToM,o,Spiral,u
Concealed Hill,Michael,u,Chaemiko,h
Northern Isles,Sonik,n,Sheik,u
Northern Isles,Happy,u,Sonik,n
Concealed Hill,Moon,n,FoCuS,o
Turtle Rock,Chaemiko,h,FoCuS,o
Shattered Exile,TGW,u,Sheik,u
Northern Isles,Edo,u,Dise,n
Echo Isles,DeMiGoD,o,WatchMeCarry,n
Northern Isles,Hunter,n,Deuce,u
Last Refuge,Happy,u,XlorD,u
Concealed Hill,SyDe,u,SaiDe,n
Last Refuge,KraV,u,KiWiKaKi,o
Turtle Rock,HoT,n,ToM,o
Zul'Alor,Starshaped,n,Hankk,o
Northern Isles,XiaoKK,o,Decadent God,o
Last Snow,TGW,u,X3-DemoN,h
Northern Isles,15sui,h,Alice,n
Echo Isles,Happy,u,P1nke,o
Northern Isles,HawK,h,LiiLD.C,n
Last Refuge,Flopoks,u,MisterWinner,h
Echo Isles,ToM,o,MisterWinner,h
Concealed Hill,Mosura,u,Crrpt,o
Concealed Hill,Blade,h,Sonik,n
Autumn Leaves,WTii,h,AllTheSmoke,u
Terenas Stand LV,Sheik,u,FoCuS,o
Northern Isles,TGW,u,HoT,n
Concealed Hill,Hitman,o,Ark,n
Twisted Meadows,WaN,u,TGW,u
Echo Isles,BlaST9Z,n,AGa,o
Northern Isles,MisterWinner,h,Lilyal,u
Concealed Hill,DrK,o,JarAsH,o
Terenas Stand LV,Robinson,n,Edo,u
Last Refuge,Fish,h,Flopoks,u
Autumn Leaves,ZeLL,h,SeTh,n
Terenas Stand LV,TGW,u,EnTe,u
Amazonia,Chiko,o,Singroso,h
Amazonia,Pain,u,VietnamGosu,u
Last Refuge,LawLiet,n,Foggy,n
Concealed Hill,Foggy,n,Sonik,n
Northern Isles,Cash,o,Please,n
Last Refuge,Moon,n,LawLiet,n
Last Refuge,Cash,o,Neytpoh,n
Amazonia,Sonik,n,Fish,h
Amazonia,Xorc,o,BobBig,TBD
Echo Isles,Happy,u,SushiLicious,u
Terenas Stand LV,Ice orc,o,Michael,u
Echo Isles,Dise,n,Rav3n,u
Echo Isles,Neytpoh,n,Paladyn,n
Last Refuge,Deuce,u,Fowzark,n
Last Refuge,FoCuS,o,Moon,n
Last Refuge,Ice orc,o,War3Orcer0,o
Last Refuge,SyDe,u,SaiDe,n
Terenas Stand LV,Michael,u,XiaoKai,o
Northern Isles,WTii,h,AllTheSmoke,u
Concealed Hill,HawK,h,Sonik,n
Amazonia,Dise,n,MisterWinner,h
Turtle Rock,Flopoks,u,ToM,o
Echo Isles,Lin Guagua,o,Soin,o
Terenas Stand LV,FoCuS,o,LawLiet,n
Last Refuge,Sonik,n,Stormrage55,n
Concealed Hill,Happy,u,Foggy,n
Echo Isles,Yumiko,u,Zhou Xixi,n
Northern Isles,Sok,h,Fly100%,o
Concealed Hill,SeTh,n,DesTr0,h
Amazonia,Deathnote,h,Simba,h
Northern Isles,HartCrane,o,Sooo Unreal,h
Concealed Hill,ThundeR,h,Lin Guagua,o
Last Refuge,Happy,u,CoopeR,o
Echo Isles,Michael,u,XiaoKai,o
Northern Isles,Happy,u,Sonik,n
Echo Isles,Fortitude,h,Fast,o
Amazonia,Happy,u,Foggy,n
Northern Isles,Michael,u,Soin,o
Echo Isles,ToX,u,Scription,h
Concealed Hill,KraV,u,Blade,h
Last Refuge,Scars,o,TapioN,o
Last Refuge,FoCuS,o,Infi,n
Terenas Stand LV,Deathnote,h,Foggy,n
Concealed Hill,Fowzark,n,Yoshy3,TBD
Amazonia,Hitman,o,Pride,o
Echo Isles,Spiral,n,WaN,u
Northern Isles,Blade,h,Sonik,n
Northern Isles,Hankk,o,Sooo Unreal,h
Northern Isles,Infi,u,Fly100%,o
Twisted Meadows,LawLiet,n,Foggy,n
Concealed Hill,Ze1Ko,h,Daille,h
Echo Isles,ArminvB,o,Hipposaur,h
Turtle Rock,FoCuS,o,WFZ,u
Amazonia,Fortitude,h,Eer0,u
Terenas Stand LV,Sonik,n,Bizzare,o
Northern Isles,Happy,u,VortiX,u
Concealed Hill,Foggy,n,Flexo,n
Advantage,Dise,n,Please,n
Terenas Stand LV,Tak3r,o,Paika,n
Echo Isles,Michael,u,Ice orc,o
Northern Isles,XlorD,u,HoT,n
Autumn Leaves,Mosura,u,Ag3nt,h
Concealed Hill,Skutt,u,ToM,o
Terenas Stand LV,TGW,u,Skutt,u
Concealed Hill,Moon,n,Alice,n
Turtle Rock,TH000,n,Fortitude,h
Northern Isles,WaN,u,Blade,h
Concealed Hill,CoopeR,o,Soin,o
Amazonia,Happy,u,PhiLbOiS,n
Turtle Rock,KraV,u,JohnnyCage,h
Northern Isles,Maru,h,SDmK,u
Northern Isles,ThundeR,h,VictorZorin,u
Amazonia,Sonik,n,Jonik,o
Northern Isles,Sok,h,Pcg 123,u
Last Refuge,LawLiet,n,Fortitude,h
Terenas Stand LV,Foggy,n,LawLiet,h
Northern Isles,Sheik,u,Endozero,u
Concealed Hill,INSUPERABLE,u,Hailua,h
Echo Isles,JohnnyCage,h,Dise,n
Northern Isles,Michael,u,ArminvB,o
Last Refuge,RavinDrannor,o,Fish,h
Echo Isles,Happy,u,VortiX,u
Concealed Hill,Lyn,o,FoCuS,o
Amazonia,Happy,u,Pokey,n
Northern Isles,HawK,h,Please,n
Last Refuge,RavinDrannor,o,BoO,u
Last Refuge,Edo,u,Philiwarrior,o
Amazonia,Sonik,n,Edo,u
Terenas Stand LV,Eer0,u,FoCuS,o
Amazonia,Dise,n,Biko,u
Concealed Hill,WoLv,n,LICHTKOENIG,u
Zul'Alor,Sheik,u,Happy,u
Last Refuge,Ice orc,o,世界尽头,n
Last Refuge,FoCuS,o,Lyn,o
Northern Isles,LiiLD.C,n,OrcWorker,o
Echo Isles,KraV,o,DesTr0,h
Echo Isles,Soin,o,ThundeR,h
Amazonia,TeRRoR,u,ToD,h
Last Refuge,Hitman,o,Ceron,u
Amazonia,Hunter,n,Arma,o
Northern Isles,Philiwarrior,o,WaN,u
Terenas Stand LV,WTii,h,GoStyle,o
Echo Isles,Sok,h,Colorful,n
Turtle Rock,Ser,u,Lubber,u
Northern Isles,Wiz,n,HoT,n
Amazonia,Ze1Ko,h,KraV,u
Concealed Hill,Arma,o,FpXy,n
Concealed Hill,Fish,h,Sonik,n
Echo Isles,Duck,u,Ceron,n
Amazonia,MisterWinner,h,Ower,u
Last Refuge,Sonik,n,MisterWinner,h
Terenas Stand LV,Soin,o,LeMei,n
Last Refuge,KiWiKaKi,o,Duck,u
Last Refuge,Biko,u,Sonik,n
Amazonia,JarAsH,o,BATOu,h
Terenas Stand LV,Yange,n,Soin,o
Northern Isles,ToM,o,Biko,u
Turtle Rock,Lyn,o,FoCuS,o
Northern Isles,Alice,n,GoaL,u
Amazonia,MisterWinner,h,FeeLx,h
Last Refuge,Michael,u,Sonik,n
Northern Isles,SDmK,u,AtheistP,h
Northern Isles,WaN,u,SpoKi,u
Amazonia,Aeb,u,Crrpt,o
Last Refuge,Happy,u,WaN,u
Northern Isles,Lyn,o,FoCuS,o
Amazonia,WoLv,n,Xepa,h
Concealed Hill,Infi,u,Colorful,n
Northern Isles,Fish,h,ToM,o
Terenas Stand LV,Foggy,n,JohnnyCage,h
Concealed Hill,PriesT,h,Sorah,o
Concealed Hill,HartCrane,o,Meecro,n
Echo Isles,Foggy,n,Happy,u
Twisted Meadows,P1nke,o,Tomik,o
Concealed Hill,ThundeR,h,Sini,n
Twisted Meadows,PhiLbOiS,n,BsK,u
Amazonia,FoCuS,o,LawLiet,n
Last Refuge,XiaOgame,o,Hipposaur,h
Concealed Hill,SaiDe,n,Starshaped,n
Amazonia,Lin Guagua,o,Fly100%,o
Northern Isles,EnTe,u,LongWalk,n
Northern Isles,Fish,h,Aeb,u
Amazonia,FoCuS,o,Sok,h
Autumn Leaves,MrKenshin,o,MrOleh,o
Last Refuge,ToD,h,Cement,u
Amazonia,Deuce,u,INSUPERABLE,u
Concealed Hill,Zhou Xixi,n,Sini,o
Concealed Hill,Hitman,o,Fish,h
Last Refuge,IzcoN,u,YggaM,h
Last Refuge,ALe,n,Celebrate,o
Concealed Hill,Flamy4,n,Maru,h
Last Refuge,,,,
Last Refuge,Lion9,u,HammBamm,h
Last Refuge,Please,n,Sheik,u
Echo Isles,Infi,u,Sok,h
Northern Isles,Inspired,h,Atanas,o
Last Refuge,Remodemo,u,ToM,o
Concealed Hill,Hunter,n,FiZiX,u
Echo Isles,Foggy,n,Fish,h
Last Refuge,Happy,u,Rennaissanse,n
Northern Isles,FoCuS,o,LawLiet,n
Last Refuge,XlorD,u,ToM,o
Northern Isles,Happy,u,Cash,o
Northern Isles,Happy,u,Speedyrogue,h
Turtle Rock,Meecro,n,Rheagal,u
Concealed Hill,Michael,u,Foggy,n
Concealed Hill,Lubber,u,Mosura,u
Northern Isles,BlaST9Z,n,Ze1Ko,h
Amazonia,Sauce (American player),h,Photonman24,u
Northern Isles,Kevin,n,Edo,u
Last Refuge,Fortitude,h,Lyn,o
Amazonia,Please,n,MisterWinner,h
Concealed Hill,Foggy,n,Michael,u
Northern Isles,X3-DemoN,h,ParadoCS,o
Concealed Hill,KraV,u,Daille,h
Northern Isles,Lin Guagua,o,Colorful,n
Concealed Hill,Rackanitsu,h,BATOu,h
Northern Isles,Sheik,u,Dise,n
Turtle Rock,LawLiet,n,Chaemiko,h
Concealed Hill,Lin Guagua,o,Fly100%,o
Echo Isles,DirtBag,h,Aeb,u
Echo Isles,SpoKi,h,Eightyfour,u
Northern Isles,Klemutz,o,NickMoris,n
Terenas Stand LV,Hunter,n,Arma,o
Terenas Stand LV,Gonz,n,MisterWinner,h
Last Refuge,Helbisch,u,SexySeaHorse,n
Echo Isles,CrunCher,u,Hitman,n
Concealed Hill,Moon,n,Lyn,o
Last Refuge,MisterWinner,h,ToM,o
Northern Isles,Sonik,n,Sheik,u
Concealed Hill,DeMiGoD,o,Nima8,h
Terenas Stand LV,KraV,u,TeRRoR,u
Last Refuge,Fortitude,h,Sok,h
Northern Isles,ThorZaIN,h,LiiLD.C,n
Last Refuge,LawLiet,n,Chaemiko,h
Terenas Stand LV,ToD,h,CoopeR,o
Echo Isles,Foggy,n,Michael,u
Last Refuge,WaN,u,Drunken,h
Northern Isles,Chaemiko,h,Soin,o
Last Refuge,Deathnote,h,Dise,n
Last Refuge,Daille,h,ZeLL,h
Terenas Stand LV,Chaemiko,h,LawLiet,n
Amazonia,RaZZoRMaN,o,Xorc,n
Terenas Stand LV,Sonik,n,Flopoks,u
Twisted Meadows,Neytpoh,n,Dise,n
Last Refuge,ToD,h,Sonik,n
Twisted Meadows,Sonik,n,Skutt,u
Autumn Leaves,Spiral,n,WaN,u
Last Refuge,Fish,h,Dise,n
Northern Isles,Michael,u,Sok,h
Echo Isles,ArminvB,o,Tak3r,o
Turtle Rock,SDmK,u,ToM,o
Last Refuge,Neytpoh,n,HoT,n
Last Refuge,LiiLD.C,n,Laxxen,h
Last Refuge,JohnnyCage,h,Please,n
Concealed Hill,Lilyal,u,Atanas,n
Last Refuge,Sonik,n,Sheik,u
Concealed Hill,XlorD,u,Philiwarrior,o
Twisted Meadows,Dise,n,JohnnyCage,h
Terenas Stand LV,Rackanitsu,h,Totoro,n
Autumn Leaves,TGW,u,Ag3nt,h
Talonrift Coast,Starshaped,n,MisterWinner,h
Amazonia,Tak3r,o,Helbisch,u
Last Refuge,Quberte,u,ReaVeR,h
Amazonia,JohnnyCage,h,Please,n
Last Refuge,ToM,o,Hipposaur,h
Amazonia,FoCuS,o,Michael,u
