Map,Winner,Winner race,Loser,Loser race
Concealed Hill,WaN,u,Edo,u
Northern Isles,Pcg 123,u,Ark,n
Amazonia,Sheik,u,KroLu,o
Amazonia,Neytpoh,n,Deathnote,h
Northern Isles,FoCuS,o,WFZ,u
Northern Isles,Seal,o,InsoliTe,u
Last Refuge,Spiral,o,Dise,n
Last Refuge,Nima8,h,Feredy,n
Terenas Stand LV,EnTe,u,ToD,h
Terenas Stand LV,ToD,h,Please,n
Echo Isles,Foggy,n,Happy,u
Last Refuge,Gonz,n,FaiLo,o
Concealed Hill,Kocur86,u,GoStyle,o
Northern Isles,INSUPERABLE,u,DirtBag,h
Amazonia,FpXy,n,NoV,o
Amazonia,KiWiKaKi,o,Fish,h
Terenas Stand LV,Foggy,n,JohnnyCage,h
Terenas Stand LV,Tak3r,o,Inspired,h
Last Refuge,LawLiet,n,Chaemiko,h
Northern Isles,Ark,n,Deuce,u
Last Refuge,Neytpoh,n,PPOeLANwan,u
Concealed Hill,KraV,u,JohnnyCage,h
Last Refuge,Michael,u,Deathnote,h
Northern Isles,Happy,u,HawK,h
Last Refuge,MisterWinner,h,Inspired,h
Northern Isles,Happy,u,HawK,h
Echo Isles,Mythos,u,MuscleMike,o
Northern Isles,FoCuS,o,Fortitude,h
Northern Isles,Kevin,n,EnTe,u
Concealed Hill,Eer0,u,Chaemiko,h
Concealed Hill,Sok,h,Eer0,u
Northern Isles,Ag3nt,h,Flopoks,u
Last Refuge,Sok,h,Ice orc,o
Concealed Hill,Dise,n,Cement,u
Echo Isles,Fast,o,Fortitude,h
Last Refuge,Lnclnerator,o,CarsoNNN,o
Last Refuge,Happy,u,Dise,n
Echo Isles,Chaemiko,h,Pink,u
Amazonia,15sui,u,Chaemiko,h
Turtle Rock,Lin Guagua,o,Foggy,n
Concealed Hill,Sonik,n,JohnnyCage,h
Amazonia,ZatiroS,n,Kyossey,n
Northern Isles,LawLiet,n,Sheik,u
Echo Isles,Yange,n,Pink,u
Echo Isles,Colorful,n,Eer0,u
Turtle Rock,Sonik,n,MisterWinner,h
Concealed Hill,HawK,h,Spiral,n
Northern Isles,Sunny,h,CorNoX,n
Amazonia,CrunCher,o,Deuce,u
Autumn Leaves,WaN,u,Biko,u
Terenas Stand LV,XeLSinG,o,AtheistP,h
Echo Isles,BlaST9Z,n,DesTr0,h
Echo Isles,Pink,u,Michael,u
Northern Isles,TeRRoR,u,ArminvB,o
Autumn Leaves,Hunter,n,Rottereye,n
Northern Isles,KraV,h,SeTh,n
Northern Isles,NovA (Iranian player),u,Loopin,u
Northern Isles,Biko,u,ArminvB,o
Autumn Leaves,Ser,u,Tak3r,o
Echo Isles,Sunny,h,RaZZoRMaN,o
Last Refuge,Lyn,o,Moon,n
Echo Isles,Skutt,u,ToM,o
Last Refuge,Michael,u,Fortitude,h
Amazonia,Pokey,n,Forsaken,n
Concealed Hill,KraV,u,JohnnyCage,h
Last Refuge,Mythos,u,Pokey,n
Echo Isles,Sok,h,Eer0,u
