Date,Match name,Map,Winner,Winner race,Loser,Loser race
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID20_Deathnote_vs_HawK_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,HawK,h,Deathnote,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID20_Deathnote_vs_HawK_on_Terenas_Stand_LV_in_Quarterfinals_Map_1,Terenas Stand LV,HawK,h,Deathnote,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID21_Sonik_vs_Please_on_Amazonia_in_Quarterfinals_Map_2,Amazonia,Sonik,n,Please,n
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID21_Sonik_vs_Please_on_Echo_Isles_in_Quarterfinals_Map_1,Echo Isles,Sonik,n,Please,n
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID22_Starshaped_vs_Happy_on_Last_Refuge_in_Quarterfinals_Map_1,Last Refuge,Happy,u,Starshaped,n
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID22_Starshaped_vs_Happy_on_Northern_Isles_in_Quarterfinals_Map_2,Northern Isles,Happy,u,Starshaped,n
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID23_Blade_vs_HawK_on_Amazonia_in_Semifinals_Map_2,Amazonia,HawK,h,Blade,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID23_Blade_vs_HawK_on_Last_Refuge_in_Semifinals_Map_1,Last Refuge,HawK,h,Blade,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID24_Sonik_vs_Happy_on_Last_Refuge_in_Semifinals_Map_2,Last Refuge,Happy,u,Sonik,n
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID24_Sonik_vs_Happy_on_Northern_Isles_in_Semifinals_Map_1,Northern Isles,Happy,u,Sonik,n
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID25_HawK_vs_Happy_on_Amazonia_in_Finals_Map_4,Amazonia,Happy,u,HawK,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID25_HawK_vs_Happy_on_Echo_Isles_in_Finals_Map_1,Echo Isles,HawK,h,Happy,u
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID25_HawK_vs_Happy_on_Last_Refuge_in_Finals_Map_3,Last Refuge,Happy,u,HawK,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID25_HawK_vs_Happy_on_Northern_Isles_in_Finals_Map_2,Northern Isles,Happy,u,HawK,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID26_Blade_vs_Sonik_on_Amazonia_in_3rd_Place_Match_Map_2,Amazonia,Blade,h,Sonik,n
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID26_Blade_vs_Sonik_on_Turtle_Rock_in_3rd_Place_Match_Map_1,Turtle Rock,Blade,h,Sonik,n
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID2_Inspired_vs_MisterWinner_on_Amazonia_in_Round_of_32_Map_1,Amazonia,MisterWinner,h,Inspired,h
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID4_lilyal_vs_Sonik_on_Terenas_Stand_LV_in_Round_of_32_Map_1,Terenas Stand LV,Sonik,n,Lilyal,u
2020-10-23,SCILL Play WC3:Reforged Open Cup/6#ID7_Loiu_vs_Starshaped_on_Echo_Isles_in_Round_of_32_Map_1,Echo Isles,Starshaped,n,Loiu,o
2020-10-23,W3Champions Finals/Season 3/Americas#ID1_CrunCher_vs_Walter_on_Northern_Isles_in_Quarterfinal_Map_2,Northern Isles,CrunCher,h,Walter,n
2020-10-23,W3Champions Finals/Season 3/Americas#ID2_hailua_vs_iNSUPERABLE_on_Concealed_Hill_in_Quarterfinal_Map_1,Concealed Hill,INSUPERABLE,u,Hailua,h
2020-10-23,W3Champions Finals/Season 3/Americas#ID2_hailua_vs_iNSUPERABLE_on_Northern_Isles_in_Quarterfinal_Map_2,Northern Isles,INSUPERABLE,u,Hailua,h
2020-10-23,Washed Up League/Season 3/Division 1#ID12_Deuce_vs_RavinDrannor_on_Amazonia_in_Regular_season_Week_3_Map_1,Amazonia,RavinDrannor,o,Deuce,u
2020-10-23,Washed Up League/Season 3/Division 1#ID12_Deuce_vs_RavinDrannor_on_Last_Refuge_in_Regular_season_Week_3_Map_3,Last Refuge,RavinDrannor,o,Deuce,u
2020-10-23,Washed Up League/Season 3/Division 1#ID12_Deuce_vs_RavinDrannor_on_Turtle_Rock_in_Regular_season_Week_3_Map_2,Turtle Rock,Deuce,u,RavinDrannor,o
2020-10-23,Washed Up League/Season 3/Division 2#ID8_Meecro_vs_Mythos_on_Last_Refuge_in_Regular_season_Week_2_Map_1,Last Refuge,Mythos,u,Meecro,n
2020-10-23,Washed Up League/Season 3/Division 2#ID8_Meecro_vs_Mythos_on_Northern_Isles_in_Regular_season_Week_2_Map_2,Northern Isles,Mythos,u,Meecro,n
2020-10-23,Washed Up League/Season 3/Division 2#ID9_Rheagal_vs_HartCrane_on_Last_Refuge_in_Regular_season_Week_3_Map_2,Last Refuge,HartCrane,o,Rheagal,u
2020-10-23,Washed Up League/Season 3/Division 2#ID9_Rheagal_vs_HartCrane_on_Northern_Isles_in_Regular_season_Week_3_Map_1,Northern Isles,HartCrane,o,Rheagal,u
2020-10-24,W3Champions Finals/Season 3/Americas#ID10_Ark_vs_hailua_on_Amazonia_in_Losers'_Round_2_Map_2,Amazonia,Hailua,h,Ark,n
2020-10-24,W3Champions Finals/Season 3/Americas#ID10_Ark_vs_hailua_on_Concealed_Hill_in_Losers'_Round_2_Map_3,Concealed Hill,Ark,n,Hailua,h
2020-10-24,W3Champions Finals/Season 3/Americas#ID10_Ark_vs_hailua_on_Terenas_Stand_LV_in_Losers'_Round_2_Map_1,Terenas Stand LV,Ark,n,Hailua,h
2020-10-24,W3Champions Finals/Season 3/Americas#ID11_CrunCher_vs_Duck_on_Autumn_Leaves_in_Losers'_Round_2_Map_3,Autumn Leaves,CrunCher,h,Duck,u
2020-10-24,W3Champions Finals/Season 3/Americas#ID11_CrunCher_vs_Duck_on_Northern_Isles_in_Losers'_Round_2_Map_2,Northern Isles,Duck,u,CrunCher,h
2020-10-24,W3Champions Finals/Season 3/Americas#ID11_CrunCher_vs_Duck_on_Terenas_Stand_LV_in_Losers'_Round_2_Map_1,Terenas Stand LV,CrunCher,h,Duck,u
2020-10-24,W3Champions Finals/Season 3/Americas#ID4_Rottereye_vs_Deuce_on_Last_Refuge_in_Quarterfinal_Map_3,Last Refuge,Deuce,u,Rottereye,n
2020-10-24,W3Champions Finals/Season 3/Americas#ID4_Rottereye_vs_Deuce_on_Northern_Isles_in_Quarterfinal_Map_2,Northern Isles,Rottereye,n,Deuce,u
2020-10-24,W3Champions Finals/Season 3/Americas#ID4_Rottereye_vs_Deuce_on_Terenas_Stand_LV_in_Quarterfinal_Map_1,Terenas Stand LV,Deuce,u,Rottereye,n
2020-10-24,W3Champions Finals/Season 3/Americas#ID5_CrunCher_vs_iNSUPERABLE_on_Autumn_Leaves_in_Semifinals_Map_2,Autumn Leaves,INSUPERABLE,u,CrunCher,h
2020-10-24,W3Champions Finals/Season 3/Americas#ID5_CrunCher_vs_iNSUPERABLE_on_Concealed_Hill_in_Semifinals_Map_1,Concealed Hill,INSUPERABLE,u,CrunCher,h
2020-10-24,W3Champions Finals/Season 3/Americas#ID6_Ark_vs_Deuce_on_Last_Refuge_in_Semifinals_Map_3,Last Refuge,Deuce,u,Ark,n
2020-10-24,W3Champions Finals/Season 3/Americas#ID6_Ark_vs_Deuce_on_Northern_Isles_in_Semifinals_Map_2,Northern Isles,Ark,n,Deuce,u
2020-10-24,W3Champions Finals/Season 3/Americas#ID6_Ark_vs_Deuce_on_Terenas_Stand_LV_in_Semifinals_Map_1,Terenas Stand LV,Deuce,u,Ark,n
2020-10-24,W3Champions Finals/Season 3/Americas#ID8_Walter_vs_hailua_on_Concealed_Hill_in_Losers'_Round_1_Map_2,Concealed Hill,Hailua,h,Walter,n
