Date,Match name,Map,Winner,Winner race,Loser,Loser race
2020-11-20,SWE inhouse LAN/5#ID9_ThorZaIN_vs_LaWn_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,ThorZaIN,h,LaWn,o
2020-11-20,War3Lovers Solo League/3#ID26_Patitofeo_vs_rcknew_on_Last_Refuge_in_Group_B_Week_2_Map_2,Last Refuge,Patitofeo,u,Rcknew,n
2020-11-20,War3Lovers Solo League/3#ID26_Patitofeo_vs_rcknew_on_Northern_Isles_in_Group_B_Week_2_Map_1,Northern Isles,Patitofeo,u,Rcknew,n
2020-11-20,War3Lovers Solo League/3#ID5_Psike_vs_freshwind_on_Concealed_Hill_in_Group_A_Week_2_Map_1,Concealed Hill,Freshwind,u,Psike,u
2020-11-20,War3Lovers Solo League/3#ID5_Psike_vs_freshwind_on_Last_Refuge_in_Group_A_Week_2_Map_2,Last Refuge,Freshwind,u,Psike,u
2020-11-21,Cyber Union Tournament#ID11_Stranik_vs_Ludovik_on_Last_Refuge_in_Group_B_Group_B_Map_1,Last Refuge,Dise,n,Ludovik,n
2020-11-21,Cyber Union Tournament#ID12_Flamy4_vs_Verbrecher_on_Northern_Isles_in_Group_B_Group_B_Map_1,Northern Isles,Flamy4,n,Verbrecher,u
2020-11-21,Cyber Union Tournament#ID14_Totoro_vs_Stranik_on_Last_Refuge_in_Group_B_Group_B_Map_1,Last Refuge,Dise,n,Totoro,n
2020-11-21,Cyber Union Tournament#ID15_Flamy4_vs_Totoro_on_Amazonia_in_Group_B_Group_B_Map_1,Amazonia,Flamy4,n,Totoro,n
2020-11-21,Cyber Union Tournament#ID16_Verbrecher_vs_Ludovik_on_Amazonia_in_Group_B_Group_B_Map_1,Amazonia,Ludovik,n,Verbrecher,u
2020-11-21,Cyber Union Tournament#ID17_Totoro_vs_Verbrecher_on_Echo_Isles_in_Group_B_Group_B_Map_1,Echo Isles,Totoro,n,Verbrecher,u
2020-11-21,Cyber Union Tournament#ID18_Stranik_vs_Flamy4_on_Amazonia_in_Group_B_Group_B_Map_1,Amazonia,Dise,n,Flamy4,n
2020-11-21,Cyber Union Tournament#ID20_Ludovik_vs_Totoro_on_Last_Refuge_in_Group_B_Group_B_Map_1,Last Refuge,Ludovik,n,Totoro,n
2020-11-21,Cyber Union Tournament#ID32_Illisori_vs_Deadmouz_on_Amazonia_in_Group_D_Group_D_Map_1,Amazonia,Illisori,n,Deadmouz,u
2020-11-21,Cyber Union Tournament#ID33_NickMoris_vs_Illisori_on_Last_Refuge_in_Group_D_Group_D_Map_1,Last Refuge,Illisori,n,NickMoris,n
2020-11-21,Cyber Union Tournament#ID6_Arma_vs_SDmK_on_Terenas_Stand_LV_in_Group_A_Group_A_Map_1,Terenas Stand LV,SDmK,u,Arma,o
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID1_Ark_vs_aeb_on_Amazonia_in_Quarterfinal_Map_2,Amazonia,Ark,n,Aeb,u
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID1_Ark_vs_aeb_on_Northern_Isles_in_Quarterfinal_Map_1,Northern Isles,Ark,n,Aeb,u
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID2_Ceron_vs_Deuce_on_Amazonia_in_Quarterfinal_Map_1,Amazonia,Ceron,n,Deuce,u
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID2_Ceron_vs_Deuce_on_Last_Refuge_in_Quarterfinal_Map_2,Last Refuge,Deuce,u,Ceron,n
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID2_Ceron_vs_Deuce_on_Northern_Isles_in_Quarterfinal_Map_3,Northern Isles,Deuce,u,Ceron,n
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID4_Pokey_vs_Duck_on_Concealed_Hill_in_Quarterfinal_Map_2,Concealed Hill,Duck,u,Pokey,n
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID4_Pokey_vs_Duck_on_Last_Refuge_in_Quarterfinal_Map_1,Last Refuge,Duck,u,Pokey,n
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID5_Ark_vs_Deuce_on_Concealed_Hill_in_Semifinals_Map_2,Concealed Hill,Deuce,u,Ark,n
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID5_Ark_vs_Deuce_on_Last_Refuge_in_Semifinals_Map_3,Last Refuge,Ark,n,Deuce,u
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID5_Ark_vs_Deuce_on_Northern_Isles_in_Semifinals_Map_4,Northern Isles,Ark,n,Deuce,u
2020-11-21,DreamHack Open/2020/Winter Season/America/Closed Qualifier#ID5_Ark_vs_Deuce_on_Terenas_Stand_LV_in_Semifinals_Map_1,Terenas Stand LV,Ark,n,Deuce,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID10_ThundeR_vs_Michael_on_Amazonia_in_Quarterfinals_Map_5,Amazonia,Michael,u,ThundeR,h
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID10_ThundeR_vs_Michael_on_Concealed_Hill_in_Quarterfinals_Map_1,Concealed Hill,Michael,u,ThundeR,h
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID10_ThundeR_vs_Michael_on_Echo_Isles_in_Quarterfinals_Map_3,Echo Isles,ThundeR,h,Michael,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID10_ThundeR_vs_Michael_on_Last_Refuge_in_Quarterfinals_Map_4,Last Refuge,ThundeR,h,Michael,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID10_ThundeR_vs_Michael_on_Northern_Isles_in_Quarterfinals_Map_2,Northern Isles,Michael,u,ThundeR,h
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID11_Fortitude_vs_FoCuS_on_Amazonia_in_Quarterfinals_Map_1,Amazonia,Fortitude,h,FoCuS,o
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID11_Fortitude_vs_FoCuS_on_Concealed_Hill_in_Quarterfinals_Map_3,Concealed Hill,FoCuS,o,Fortitude,h
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID11_Fortitude_vs_FoCuS_on_Echo_Isles_in_Quarterfinals_Map_4,Echo Isles,FoCuS,o,Fortitude,h
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID11_Fortitude_vs_FoCuS_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,Fortitude,h,FoCuS,o
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID11_Fortitude_vs_FoCuS_on_Northern_Isles_in_Quarterfinals_Map_5,Northern Isles,FoCuS,o,Fortitude,h
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID12_Pink_vs_Lin_Guagua_on_Amazonia_in_Quarterfinals_Map_3,Amazonia,Lin Guagua,o,Pink,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID12_Pink_vs_Lin_Guagua_on_Echo_Isles_in_Quarterfinals_Map_1,Echo Isles,Lin Guagua,o,Pink,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID12_Pink_vs_Lin_Guagua_on_Terenas_Stand_LV_in_Quarterfinals_Map_2,Terenas Stand LV,Lin Guagua,o,Pink,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID1_Chaemiko_vs_15sui_on_Amazonia_in_Round_of_16_Map_2,Amazonia,Chaemiko,h,15sui,n
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID1_Chaemiko_vs_15sui_on_Last_Refuge_in_Round_of_16_Map_1,Last Refuge,Chaemiko,h,15sui,n
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID2_ice_orc_vs_Zhou_Xixi_on_Concealed_Hill_in_Round_of_16_Map_2,Concealed Hill,Ice orc,o,Zhou Xixi,n
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID2_ice_orc_vs_Zhou_Xixi_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,Ice orc,o,Zhou Xixi,n
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID5_Fortitude_vs_Alice_on_Last_Refuge_in_Round_of_16_Map_3,Last Refuge,Fortitude,h,Alice,n
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID5_Fortitude_vs_Alice_on_Northern_Isles_in_Round_of_16_Map_2,Northern Isles,Fortitude,h,Alice,n
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID5_Fortitude_vs_Alice_on_Terenas_Stand_LV_in_Round_of_16_Map_1,Terenas Stand LV,Alice,n,Fortitude,h
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID6_Soin_vs_FoCuS_on_Concealed_Hill_in_Round_of_16_Map_3,Concealed Hill,FoCuS,o,Soin,o
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID6_Soin_vs_FoCuS_on_Echo_Isles_in_Round_of_16_Map_2,Echo Isles,FoCuS,o,Soin,o
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID6_Soin_vs_FoCuS_on_Northern_Isles_in_Round_of_16_Map_1,Northern Isles,Soin,o,FoCuS,o
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID7_XiaoKai_vs_Pink_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,Pink,u,XiaoKai,o
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID7_XiaoKai_vs_Pink_on_Northern_Isles_in_Round_of_16_Map_3,Northern Isles,Pink,u,XiaoKai,o
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID7_XiaoKai_vs_Pink_on_Terenas_Stand_LV_in_Round_of_16_Map_2,Terenas Stand LV,XiaoKai,o,Pink,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID8_Anxi_vs_Lin_Guagua_on_Terenas_Stand_LV_in_Round_of_16_Map_2,Terenas Stand LV,Lin Guagua,o,Anxi,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID8_Anxi_vs_Lin_Guagua_on_Twisted_Meadows_in_Round_of_16_Map_1,Twisted Meadows,Lin Guagua,o,Anxi,u
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID9_Chaemiko_vs_ice_orc_on_Concealed_Hill_in_Quarterfinals_Map_2,Concealed Hill,Chaemiko,h,Ice orc,o
2020-11-21,DreamHack Open/2020/Winter Season/Asia/Closed Qualifier#ID9_Chaemiko_vs_ice_orc_on_Northern_Isles_in_Quarterfinals_Map_1,Northern Isles,Chaemiko,h,Ice orc,o
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID10_TGW_vs_JohnnyCage_on_Amazonia_in_Quarterfinals_Map_4,Amazonia,JohnnyCage,h,TGW,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID10_TGW_vs_JohnnyCage_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,JohnnyCage,h,TGW,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID10_TGW_vs_JohnnyCage_on_Northern_Isles_in_Quarterfinals_Map_1,Northern Isles,JohnnyCage,h,TGW,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID10_TGW_vs_JohnnyCage_on_Terenas_Stand_LV_in_Quarterfinals_Map_3,Terenas Stand LV,TGW,u,JohnnyCage,h
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID11_Paladyn_vs_Neytpoh_on_Amazonia_in_Quarterfinals_Map_2,Amazonia,Neytpoh,n,Paladyn,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID11_Paladyn_vs_Neytpoh_on_Echo_Isles_in_Quarterfinals_Map_1,Echo Isles,Neytpoh,n,Paladyn,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID11_Paladyn_vs_Neytpoh_on_Northern_Isles_in_Quarterfinals_Map_4,Northern Isles,Neytpoh,n,Paladyn,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID11_Paladyn_vs_Neytpoh_on_Twisted_Meadows_in_Quarterfinals_Map_3,Twisted Meadows,Paladyn,n,Neytpoh,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID12_SyDe_vs_ThorZaIN_on_Amazonia_in_Quarterfinals_Map_4,Amazonia,ThorZaIN,h,SyDe,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID12_SyDe_vs_ThorZaIN_on_Concealed_Hill_in_Quarterfinals_Map_2,Concealed Hill,ThorZaIN,h,SyDe,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID12_SyDe_vs_ThorZaIN_on_Echo_Isles_in_Quarterfinals_Map_3,Echo Isles,SyDe,u,ThorZaIN,h
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID12_SyDe_vs_ThorZaIN_on_Last_Refuge_in_Quarterfinals_Map_5,Last Refuge,SyDe,u,ThorZaIN,h
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID12_SyDe_vs_ThorZaIN_on_Northern_Isles_in_Quarterfinals_Map_1,Northern Isles,SyDe,u,ThorZaIN,h
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID1_Spiral_vs_SaiDe_on_Concealed_Hill_in_Round_of_16_Map_2,Concealed Hill,Spiral,u,SaiDe,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID1_Spiral_vs_SaiDe_on_Last_Refuge_in_Round_of_16_Map_1,Last Refuge,Spiral,n,SaiDe,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID2_Starshaped_vs_Sonik_on_Amazonia_in_Round_of_16_Map_3,Amazonia,Sonik,n,Starshaped,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID2_Starshaped_vs_Sonik_on_Last_Refuge_in_Round_of_16_Map_2,Last Refuge,Starshaped,n,Sonik,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID2_Starshaped_vs_Sonik_on_Twisted_Meadows_in_Round_of_16_Map_1,Twisted Meadows,Sonik,n,Starshaped,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID3_CoopeR_vs_TGW_on_Concealed_Hill_in_Round_of_16_Map_2,Concealed Hill,TGW,u,CoopeR,o
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID3_CoopeR_vs_TGW_on_Terenas_Stand_LV_in_Round_of_16_Map_1,Terenas Stand LV,TGW,u,CoopeR,o
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID4_JohnnyCage_vs_RaZZoRMaN_on_Last_Refuge_in_Round_of_16_Map_2,Last Refuge,JohnnyCage,h,RaZZoRMaN,o
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID4_JohnnyCage_vs_RaZZoRMaN_on_Terenas_Stand_LV_in_Round_of_16_Map_1,Terenas Stand LV,JohnnyCage,h,RaZZoRMaN,o
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID5_Cash_vs_Paladyn_on_Amazonia_in_Round_of_16_Map_1,Amazonia,Paladyn,n,Cash,o
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID5_Cash_vs_Paladyn_on_Concealed_Hill_in_Round_of_16_Map_2,Concealed Hill,Paladyn,n,Cash,o
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID6_EnTe_vs_Neytpoh_on_Amazonia_in_Round_of_16_Map_2,Amazonia,Neytpoh,n,EnTe,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID6_EnTe_vs_Neytpoh_on_Concealed_Hill_in_Round_of_16_Map_1,Concealed Hill,Neytpoh,n,EnTe,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID7_SyDe_vs_Please_on_Concealed_Hill_in_Round_of_16_Map_2,Concealed Hill,SyDe,u,Please,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID7_SyDe_vs_Please_on_Echo_Isles_in_Round_of_16_Map_3,Echo Isles,SyDe,u,Please,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID7_SyDe_vs_Please_on_Northern_Isles_in_Round_of_16_Map_1,Northern Isles,Please,n,SyDe,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID8_Edo_vs_ThorZaIN_on_Amazonia_in_Round_of_16_Map_3,Amazonia,ThorZaIN,h,Edo,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID8_Edo_vs_ThorZaIN_on_Concealed_Hill_in_Round_of_16_Map_2,Concealed Hill,ThorZaIN,h,Edo,u
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID8_Edo_vs_ThorZaIN_on_Northern_Isles_in_Round_of_16_Map_1,Northern Isles,Edo,u,ThorZaIN,h
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID9_Spiral_vs_Sonik_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,Sonik,n,Spiral,o
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID9_Spiral_vs_Sonik_on_Northern_Isles_in_Quarterfinals_Map_3,Northern Isles,Spiral,h,Sonik,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID9_Spiral_vs_Sonik_on_Terenas_Stand_LV_in_Quarterfinals_Map_1,Terenas Stand LV,Spiral,h,Sonik,n
2020-11-21,DreamHack Open/2020/Winter Season/Europe/Closed Qualifier#ID9_Spiral_vs_Sonik_on_Twisted_Meadows_in_Quarterfinals_Map_4,Twisted Meadows,Spiral,n,Sonik,n
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID13_W1gan_vs_Delta_on_Last_Refuge_in_Round_of_16_Map_1,Last Refuge,Delta,n,W1gan,n
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID17_Inspired_vs_Stranik_on_Northern_Isles_in_Quarterfinals_Map_1,Northern Isles,Dise,n,Inspired,h
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID18_Delta_vs_Neytpoh_on_Last_Refuge_in_Quarterfinals_Map_1,Last Refuge,Neytpoh,n,Delta,n
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID2_lilyal_vs_ag3nt_on_Terenas_Stand_LV_in_Round_of_32_Map_1,Terenas Stand LV,Ag3nt,h,Lilyal,u
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID30_Deadmouz_vs_Simba_on_Amazonia_in_Losers_Round_4_Map_1,Amazonia,Simba,h,Deadmouz,u
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID34_ag3nt_vs_ParadoCS_on_Terenas_Stand_LV_in_Losers_Round_5_Map_1,Terenas Stand LV,Ag3nt,h,ParadoCS,o
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID35_MisterWinner_vs_Deathnote_on_Last_Refuge_in_Semifinals_Map_1,Last Refuge,Deathnote,h,MisterWinner,h
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID36_Stranik_vs_Neytpoh_on_Northern_Isles_in_Semifinals_Map_1,Northern Isles,Neytpoh,n,Dise,n
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID37_Deathnote_vs_Neytpoh_on_Amazonia_in_Winners'_Final_Map_3,Amazonia,Neytpoh,n,Deathnote,h
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID37_Deathnote_vs_Neytpoh_on_Concealed_Hill_in_Winners'_Final_Map_1,Concealed Hill,Neytpoh,n,Deathnote,h
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID37_Deathnote_vs_Neytpoh_on_Last_Refuge_in_Winners'_Final_Map_2,Last Refuge,Deathnote,h,Neytpoh,n
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID39_MisterWinner_vs_ag3nt_on_Last_Refuge_in_Losers_Round_6_Map_1,Last Refuge,Ag3nt,h,MisterWinner,h
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID40_Please_vs_ag3nt_on_Concealed_Hill_in_Losers_round_7_Map_1,Concealed Hill,Please,n,Ag3nt,h
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID41_Deathnote_vs_Please_on_Amazonia_in_Losers_Final_Map_2,Amazonia,Deathnote,h,Please,n
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID41_Deathnote_vs_Please_on_Last_Refuge_in_Losers_Final_Map_1,Last Refuge,Deathnote,h,Please,n
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID42_Neytpoh_vs_Deathnote_on_Advantage_in_Grand_Final_Map_1,Advantage,Neytpoh,n,Deathnote,h
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID42_Neytpoh_vs_Deathnote_on_Concealed_Hill_in_Grand_Final_Map_3,Concealed Hill,Neytpoh,n,Deathnote,h
2020-11-21,Moscow Cybersport/Season 2/Qualifier 3#ID42_Neytpoh_vs_Deathnote_on_Last_Refuge_in_Grand_Final_Map_2,Last Refuge,Neytpoh,n,Deathnote,h
2020-11-21,NeXT/2020 Winter#ID21_TH000_vs_LawLiet_on_Last_Refuge_in_Quarterfinals_Map_3,Last Refuge,LawLiet,n,TH000,h
2020-11-21,NeXT/2020 Winter#ID21_TH000_vs_LawLiet_on_Northern_Isles_in_Quarterfinals_Map_2,Northern Isles,LawLiet,n,TH000,h
2020-11-21,NeXT/2020 Winter#ID21_TH000_vs_LawLiet_on_Turtle_Rock_in_Quarterfinals_Map_1,Turtle Rock,TH000,h,LawLiet,n
2020-11-21,NeXT/2020 Winter#ID22_Alice_vs_Moon_on_Concealed_Hill_in_Quarterfinals_Map_2,Concealed Hill,Moon,n,Alice,n
2020-11-21,NeXT/2020 Winter#ID22_Alice_vs_Moon_on_Terenas_Stand_LV_in_Quarterfinals_Map_1,Terenas Stand LV,Moon,n,Alice,n
2020-11-21,NeXT/2020 Winter#ID23_eer0_vs_Colorful_on_Concealed_Hill_in_Quarterfinals_Map_3,Concealed Hill,Eer0,u,Colorful,n
2020-11-21,NeXT/2020 Winter#ID23_eer0_vs_Colorful_on_Echo_Isles_in_Quarterfinals_Map_2,Echo Isles,Colorful,n,Eer0,u
2020-11-21,NeXT/2020 Winter#ID23_eer0_vs_Colorful_on_Last_Refuge_in_Quarterfinals_Map_1,Last Refuge,Eer0,u,Colorful,n
2020-11-21,NeXT/2020 Winter#ID24_FoCuS_vs_Fly100%_on_Echo_Isles_in_Quarterfinals_Map_3,Echo Isles,FoCuS,o,Fly100%,o
2020-11-21,NeXT/2020 Winter#ID24_FoCuS_vs_Fly100%_on_Last_Refuge_in_Quarterfinals_Map_1,Last Refuge,FoCuS,o,Fly100%,o
2020-11-21,NeXT/2020 Winter#ID24_FoCuS_vs_Fly100%_on_Northern_Isles_in_Quarterfinals_Map_2,Northern Isles,Fly100%,o,FoCuS,o
2020-11-21,NeXT/2020 Winter#ID25_LawLiet_vs_Moon_on_Echo_Isles_in_Semifinals_Map_2,Echo Isles,Moon,n,LawLiet,n
2020-11-21,NeXT/2020 Winter#ID25_LawLiet_vs_Moon_on_Terenas_Stand_LV_in_Semifinals_Map_1,Terenas Stand LV,Moon,n,LawLiet,n
2020-11-21,NeXT/2020 Winter#ID26_eer0_vs_FoCuS_on_Echo_Isles_in_Semifinals_Map_1,Echo Isles,Eer0,u,FoCuS,o
2020-11-21,NeXT/2020 Winter#ID26_eer0_vs_FoCuS_on_Northern_Isles_in_Semifinals_Map_3,Northern Isles,FoCuS,o,Eer0,u
2020-11-21,NeXT/2020 Winter#ID26_eer0_vs_FoCuS_on_Terenas_Stand_LV_in_Semifinals_Map_2,Terenas Stand LV,FoCuS,o,Eer0,u
2020-11-21,NeXT/2020 Winter#ID27_Moon_vs_FoCuS_on_Concealed_Hill_in_Finals_Map_2,Concealed Hill,Moon,n,FoCuS,o
2020-11-21,NeXT/2020 Winter#ID27_Moon_vs_FoCuS_on_Echo_Isles_in_Finals_Map_1,Echo Isles,Moon,n,FoCuS,o
2020-11-21,NeXT/2020 Winter#ID27_Moon_vs_FoCuS_on_Last_Refuge_in_Finals_Map_4,Last Refuge,FoCuS,o,Moon,n
2020-11-21,NeXT/2020 Winter#ID27_Moon_vs_FoCuS_on_Northern_Isles_in_Finals_Map_3,Northern Isles,FoCuS,o,Moon,n
2020-11-21,NeXT/2020 Winter#ID27_Moon_vs_FoCuS_on_Turtle_Rock_in_Finals_Map_5,Turtle Rock,FoCuS,o,Moon,n
2020-11-21,SWE inhouse LAN/5#ID10_Fhra_vs_Starshaped_on_Concealed_Hill_in_Quarterfinals_Map_2,Concealed Hill,Starshaped,n,Fhra,o
2020-11-21,SWE inhouse LAN/5#ID10_Fhra_vs_Starshaped_on_Echo_Isles_in_Quarterfinals_Map_3,Echo Isles,Starshaped,n,Fhra,o
2020-11-21,SWE inhouse LAN/5#ID10_Fhra_vs_Starshaped_on_Northern_Isles_in_Quarterfinals_Map_1,Northern Isles,Fhra,o,Starshaped,n
2020-11-21,SWE inhouse LAN/5#ID11_LiiLD.C_vs_HaZe_on_Amazonia_in_Quarterfinals_Map_1,Amazonia,LiiLD.C,n,HaZe,n
2020-11-21,SWE inhouse LAN/5#ID11_LiiLD.C_vs_HaZe_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,LiiLD.C,n,HaZe,n
2020-11-21,SWE inhouse LAN/5#ID13_ThorZaIN_vs_Starshaped_on_Concealed_Hill_in_Semifinals_Map_2,Concealed Hill,ThorZaIN,h,Starshaped,n
2020-11-21,SWE inhouse LAN/5#ID13_ThorZaIN_vs_Starshaped_on_Northern_Isles_in_Semifinals_Map_1,Northern Isles,ThorZaIN,h,Starshaped,n
2020-11-21,SWE inhouse LAN/5#ID14_LiiLD.C_vs_KnOfF_on_Amazonia_in_Semifinals_Map_1,Amazonia,LiiLD.C,n,KnOfF,o
2020-11-21,SWE inhouse LAN/5#ID14_LiiLD.C_vs_KnOfF_on_Concealed_Hill_in_Semifinals_Map_2,Concealed Hill,LiiLD.C,n,KnOfF,o
2020-11-21,Washed Up League/Season 3/Division 1#ID31_Hitman_vs_iNSUPERABLE_on_Amazonia_in_Finals_Map_2,Amazonia,Hitman,o,INSUPERABLE,u
2020-11-21,Washed Up League/Season 3/Division 1#ID31_Hitman_vs_iNSUPERABLE_on_Northern_Isles_in_Finals_Map_1,Northern Isles,Hitman,o,INSUPERABLE,u
2020-11-21,Washed Up League/Season 3/Division 2#ID55_carsoNNN_vs_lnclnerator_on_Concealed_Hill_in_Semifinals_Map_1,Concealed Hill,CarsoNNN,o,Lnclnerator,o
2020-11-21,Washed Up League/Season 3/Division 2#ID55_carsoNNN_vs_lnclnerator_on_Last_Refuge_in_Semifinals_Map_2,Last Refuge,Lnclnerator,o,CarsoNNN,o
